Occupation	index_inches	Gender_dominance_Number_MALE	Gender_dominance_Number_FEMALE	Gender_dominance_%_MALE	Gender_dominance_%_FEMALE	Glass_cieling_%>180k_MALE	Glass_cieling_%>180k_FEMALE	Glass_cieling_RATIO_>180k	Glass_cieling_%>80k_MALE	Glass_cieling_%>80k_FEMALE	Glass_cieling_RATIO_>80k	Real Income_2009_MALE	Real Income_2009_FEMALE	Real Income_2009_DIFF	Real Income_2013_MALE	Real Income_2013_FEMALE	Real Income_2013_DIFF	Progress_DOLLARS	Progress_PERCENT
Automotive Electricians	8.0	1421	4141	0.26	0.74	0.15	0.03	5.88	0.59	0.46	1.29	78589	67977	10612	85294	58208	27086	-16474	-1.55
Motor Mechanics	2.5	1393	2179	0.39	0.61	0.15	0.03	5.84	0.46	0.21	2.18	70980	58622	12357	81933	72318	9616	2742	0.22
"Metal Casting, Forging and Finishing Trades Workers"	2.5	3725	2762	0.57	0.43	0.13	0.04	3.79	0.41	0.46	0.89	80348	67756	12592	84456	66559	17896	-5304	-0.42
Sheetmetal Trades Workers	6.3	4202	5344	0.44	0.56	0.13	0.02	5.44	0.46	0.45	1.01	70333	58276	12057	79554	68283	11271	786	0.07
Structural Steel and Welding Trades Workers	8.9	7014	4015	0.64	0.36	0.1	0.07	1.54	0.31	0.36	0.87	80583	59217	21366	81941	68748	13192	8174	0.38
Aircraft Maintenance Engineers	5.8	6527	4327	0.6	0.4	0.1	0.04	2.65	0.47	0.32	1.47	83610	60593	23017	85499	60386	25113	-2096	-0.09
Metal Fitters and Machinists	2.6	7494	2088	0.78	0.22	0.12	0.03	4.64	0.46	0.44	1.06	74760	59289	15472	75491	72470	3021	12451	0.8
Precision Metal Trades Workers	7.1	10195	1445	0.88	0.12	0.13	0.03	5.19	0.42	0.47	0.9	83491	68375	15117	76585	64170	12415	2702	0.18
Toolmakers and Engineering Patternmakers	2.5	8619	6921	0.55	0.45	0.13	0.05	2.38	0.46	0.44	1.04	70147	65623	4524	79448	60179	19269	-14745	-3.26
Panelbeaters	8.2	10788	2553	0.81	0.19	0.11	0.06	1.84	0.46	0.27	1.7	71683	56751	14932	80673	58555	22118	-7185	-0.48
Vehicle Body Builders and Trimmers	0.1	6033	5533	0.52	0.48	0.13	0.07	1.89	0.45	0.41	1.09	81497	55887	25611	82866	59508	23358	2252	0.09
Vehicle Painters	2.8	7514	1871	0.8	0.2	0.12	0.05	2.35	0.31	0.28	1.12	79971	58498	21473	79440	67116	12325	9149	0.43
Bricklayers and Stonemasons	2.6	9605	4760	0.67	0.33	0.12	0.05	2.65	0.36	0.22	1.61	72548	67147	5400	82716	63139	19577	-14177	-2.63
Carpenters and Joiners	6.8	10163	1811	0.85	0.15	0.14	0.03	4.15	0.49	0.23	2.07	73695	57060	16635	78551	61686	16865	-230	-0.01
Floor Finishers	5.4	9647	3095	0.76	0.24	0.15	0.03	5.4	0.33	0.24	1.41	72056	61972	10084	78233	67340	10892	-808	-0.08
Painting Trades Workers	2.6	9573	1296	0.88	0.12	0.12	0.02	4.91	0.37	0.35	1.05	77231	65671	11560	79241	69998	9243	2316	0.2
Glaziers	7.4	6508	4944	0.57	0.43	0.12	0.04	2.78	0.57	0.32	1.8	74114	63776	10338	78166	69542	8624	1714	0.17
Plasterers	5.8	8004	4412	0.64	0.36	0.11	0.06	1.9	0.51	0.27	1.93	83928	61008	22920	79636	68661	10975	11945	0.52
Roof Tilers	3.4	4129	2928	0.59	0.41	0.1	0.05	1.97	0.44	0.28	1.59	83213	66129	17085	78996	58298	20697	-3613	-0.21
Wall and Floor Tilers	2.0	1401	2707	0.34	0.66	0.15	0.03	5.09	0.35	0.47	0.75	71149	55384	15765	77135	63578	13557	2207	0.14
Plumbers	7.0	8183	3609	0.69	0.31	0.14	0.03	5.77	0.59	0.43	1.37	70632	61636	8996	86328	67607	18722	-9725	-1.08
Electricians	8.1	2361	4459	0.35	0.65	0.11	0.06	1.74	0.52	0.33	1.6	77012	65995	11017	76725	62619	14107	-3090	-0.28
Airconditioning and Refrigeration Mechanics	3.8	6342	4505	0.58	0.42	0.15	0.06	2.27	0.43	0.45	0.97	82069	66876	15192	79365	71326	8039	7153	0.47
Electrical Distribution Trades Workers	0.9	5429	3598	0.6	0.4	0.12	0.07	1.68	0.52	0.29	1.79	82477	57767	24710	79597	63278	16319	8391	0.34
Electronics Trades Workers	8.6	5159	5682	0.48	0.52	0.13	0.03	5.04	0.42	0.44	0.95	83480	59427	24053	80424	59114	21310	2743	0.11
Telecommunications Trades Workers	1.5	3137	5525	0.36	0.64	0.15	0.03	5.15	0.6	0.22	2.71	82363	66994	15369	88900	66935	21965	-6596	-0.43
Bakers and Pastrycooks	3.7	1442	5237	0.22	0.78	0.15	0.03	4.86	0.55	0.2	2.76	73426	59660	13766	77194	64688	12506	1260	0.09
Butchers and Smallgoods Makers	1.7	8353	4879	0.63	0.37	0.15	0.05	3.22	0.43	0.25	1.69	79467	63672	15795	75871	66762	9109	6686	0.42
Chefs	6.6	8498	3468	0.71	0.29	0.13	0.04	2.89	0.52	0.43	1.22	71063	69912	1150	78746	65958	12788	-11638	-10.12
Cooks	6.3	1202	3748	0.24	0.76	0.13	0.03	3.7	0.59	0.46	1.3	79398	63787	15611	77127	70770	6356	9254	0.59
Animal Attendants and Trainers	5.7	6601	2612	0.72	0.28	0.13	0.05	2.69	0.53	0.42	1.26	79367	67975	11392	75072	62929	12144	-751	-0.07
Shearers	6.6	10540	1984	0.84	0.16	0.14	0.05	2.85	0.37	0.24	1.53	73179	65704	7475	89136	62395	26741	-19266	-2.58
Veterinary Nurses	9.4	4552	6367	0.42	0.58	0.1	0.04	2.59	0.36	0.33	1.08	78093	58381	19712	81941	58809	23132	-3420	-0.17
Florists	2.0	6984	5849	0.54	0.46	0.14	0.04	3.32	0.52	0.42	1.22	78406	68381	10024	81682	71601	10081	-57	-0.01
Gardeners	9.7	2088	6654	0.24	0.76	0.1	0.04	2.53	0.55	0.32	1.75	80640	56344	24296	87780	59502	28277	-3981	-0.16
Greenkeepers	5.4	4757	3675	0.56	0.44	0.13	0.05	2.83	0.53	0.28	1.86	81850	66294	15556	83970	64065	19905	-4349	-0.28
Nurserypersons	3.2	8134	2370	0.77	0.23	0.13	0.03	3.92	0.41	0.48	0.85	78046	69422	8623	89829	60501	29328	-20705	-2.4
Hairdressers	1.9	4457	5633	0.44	0.56	0.13	0.03	5.35	0.55	0.2	2.7	71515	60000	11515	87282	72577	14705	-3191	-0.28
Printing Trades Workers	0.9	5395	1421	0.79	0.21	0.13	0.04	3.59	0.37	0.23	1.57	80286	64156	16130	82435	63626	18809	-2679	-0.17
"Binders, Finishers and Screen Printers"	9.3	4932	4551	0.52	0.48	0.13	0.03	4.86	0.34	0.27	1.26	82981	64103	18878	76764	66589	10176	8702	0.46
Graphic Pre-press Trades Workers	10.0	9306	1978	0.82	0.18	0.13	0.05	2.66	0.45	0.36	1.23	78450	59752	18698	83311	70570	12741	5957	0.32
Printers	4.6	10625	5973	0.64	0.36	0.15	0.02	6.23	0.6	0.27	2.18	75469	68017	7451	77830	65766	12064	-4613	-0.62
Canvas and Leather Goods Makers	5.9	1534	3252	0.32	0.68	0.11	0.06	1.75	0.38	0.44	0.86	77721	65172	12548	83712	64531	19181	-6633	-0.53
Clothing Trades Workers	1.2	2180	4677	0.32	0.68	0.11	0.04	3.17	0.49	0.31	1.55	72987	61902	11085	86412	61416	24996	-13911	-1.25
Upholsterers	4.4	3615	3352	0.52	0.48	0.14	0.04	3.37	0.42	0.29	1.48	77531	64476	13055	82429	58774	23655	-10600	-0.81
Cabinetmakers	5.0	4086	3023	0.57	0.43	0.15	0.07	2.14	0.45	0.45	1.01	70398	55583	14815	77748	68860	8888	5927	0.4
Wood Machinists and Other Wood Trades Workers	2.2	10079	2624	0.79	0.21	0.12	0.03	4.42	0.5	0.22	2.29	71479	63869	7610	84139	70933	13206	-5596	-0.74
Boat Builders and Shipwrights	6.4	2957	4818	0.38	0.62	0.14	0.03	4.97	0.34	0.46	0.75	80470	63760	16710	82876	65128	17748	-1038	-0.06
"Chemical, Gas, Petroleum and Power Generation Plant Operators"	5.6	6438	5259	0.55	0.45	0.13	0.07	1.89	0.44	0.26	1.71	80525	66244	14281	80557	62896	17661	-3380	-0.24
"Gallery, Library and Museum Technicians"	8.4	3372	5268	0.39	0.61	0.12	0.02	5.16	0.45	0.41	1.1	78081	69680	8401	79497	64507	14990	-6589	-0.78
Jewellers	8.7	9006	4454	0.67	0.33	0.12	0.05	2.46	0.58	0.34	1.7	74669	59942	14727	77194	63346	13848	879	0.06
Performing Arts Technicians	2.0	2361	3469	0.4	0.6	0.12	0.04	3.05	0.46	0.36	1.26	81520	61267	20253	75259	59102	16158	4095	0.2
Signwriters	8.3	10152	4354	0.7	0.3	0.12	0.04	3.12	0.55	0.32	1.73	73327	61736	11591	85408	65149	20259	-8668	-0.75
Other Miscellaneous Technicians and Trades Workers	4.5	7555	6786	0.53	0.47	0.12	0.03	4.05	0.57	0.49	1.16	79696	67179	12517	76105	66552	9553	2964	0.24
Health and Welfare Support Workers	5.7	1955	1193	0.62	0.38	0.15	0.06	2.38	0.47	0.3	1.56	83289	65892	17397	78650	61036	17614	-216	-0.01
Ambulance Officers and Paramedics	2.3	3740	3376	0.53	0.47	0.12	0.05	2.49	0.44	0.45	0.97	81105	65824	15280	82023	64970	17053	-1772	-0.12
"Dental Hygienists, Technicians and Therapists"	2.9	4599	6926	0.4	0.6	0.12	0.05	2.55	0.39	0.31	1.25	71506	55996	15510	78927	65035	13893	1617	0.1
Diversional Therapists	8.7	8089	3505	0.7	0.3	0.15	0.07	2.09	0.53	0.24	2.23	78068	64082	13986	75346	62852	12494	1492	0.11
Enrolled and Mothercraft Nurses	7.3	9924	2609	0.79	0.21	0.15	0.06	2.6	0.53	0.37	1.43	83968	62011	21956	83483	68138	15345	6611	0.3
Indigenous Health Workers	0.8	5177	1960	0.73	0.27	0.14	0.02	5.88	0.45	0.24	1.9	84393	56145	28249	87803	66280	21523	6726	0.24
Massage Therapists	5.4	10890	2633	0.81	0.19	0.12	0.03	3.74	0.52	0.21	2.52	75139	63786	11353	80120	62428	17692	-6339	-0.56
Welfare Support Workers	5.0	5502	1415	0.8	0.2	0.11	0.05	2.41	0.36	0.43	0.83	75153	63861	11292	84272	70325	13947	-2655	-0.24
Child Carers	7.0	6825	1605	0.81	0.19	0.13	0.06	2.32	0.32	0.38	0.83	78957	68215	10742	80307	64698	15610	-4868	-0.45
Education Aides	4.9	6231	6858	0.48	0.52	0.12	0.06	1.94	0.4	0.35	1.13	84967	64197	20770	80555	70486	10069	10700	0.52
Personal Carers and Assistants	0.9	3831	1560	0.71	0.29	0.14	0.04	3.52	0.33	0.35	0.94	76928	61106	15822	78760	68062	10698	5125	0.32
Aged and Disabled Carers	1.6	3980	2610	0.6	0.4	0.14	0.04	3.9	0.57	0.28	2	72260	64207	8054	76443	67046	9398	-1344	-0.17
Dental Assistants	5.9	1877	4502	0.29	0.71	0.11	0.06	1.76	0.35	0.26	1.36	81090	58329	22762	80084	70357	9726	13035	0.57
Nursing Support and Personal Care Workers	5.8	4830	2296	0.68	0.32	0.13	0.04	3.38	0.54	0.46	1.18	75404	65445	9959	87189	59760	27430	-17471	-1.75
Special Care Workers	7.8	3352	2566	0.57	0.43	0.1	0.02	4.85	0.42	0.38	1.1	73404	62786	10618	77869	61134	16735	-6117	-0.58
Hospitality Workers	1.9	5514	1686	0.77	0.23	0.14	0.02	6.55	0.56	0.37	1.51	80657	68184	12473	85517	70968	14549	-2077	-0.17
Bar Attendants and Baristas	7.7	7877	3195	0.71	0.29	0.13	0.03	5.16	0.53	0.48	1.09	82893	58129	24764	83356	70146	13210	11554	0.47
Cafe Workers	7.1	6691	2574	0.72	0.28	0.11	0.05	2.4	0.34	0.24	1.43	74960	55548	19412	84321	62855	21466	-2054	-0.11
Gaming Workers	5.1	2299	3260	0.41	0.59	0.12	0.06	2.15	0.36	0.27	1.34	84191	69369	14822	81054	65406	15649	-827	-0.06
Hotel Service Managers	2.8	9803	4701	0.68	0.32	0.14	0.06	2.59	0.38	0.32	1.21	74323	55556	18767	79135	58457	20678	-1911	-0.1
Waiters	9.3	8059	2828	0.74	0.26	0.11	0.06	1.8	0.43	0.4	1.1	74495	56528	17967	89750	69381	20369	-2402	-0.13
Other Hospitality Workers	3.9	1829	3871	0.32	0.68	0.14	0.02	6.66	0.43	0.36	1.2	76195	55279	20916	78592	60925	17667	3249	0.16
Defence Force Members - Other Ranks	8.3	10646	3191	0.77	0.23	0.14	0.04	3.35	0.53	0.22	2.46	79320	64752	14568	79298	60801	18497	-3928	-0.27
Fire and Emergency Workers	1.6	7137	4840	0.6	0.4	0.1	0.03	3.43	0.42	0.48	0.87	74115	57733	16382	87821	72627	15194	1189	0.07
Police	8.1	9265	6045	0.61	0.39	0.13	0.04	3.01	0.35	0.32	1.09	72284	59049	13235	88478	72277	16200	-2965	-0.22
Prison Officers	7.6	2749	5492	0.33	0.67	0.14	0.03	4.27	0.58	0.27	2.14	75828	57526	18302	76031	68940	7091	11212	0.61
Security Officers and Guards	6.9	6901	5179	0.57	0.43	0.11	0.05	2.23	0.33	0.26	1.28	75968	58663	17305	80003	62982	17021	284	0.02
Beauty Therapists	5.8	2455	3528	0.41	0.59	0.11	0.07	1.57	0.44	0.26	1.68	74663	69387	5275	88848	68351	20497	-15221	-2.89
Driving Instructors	9.8	5233	2401	0.69	0.31	0.14	0.04	3.88	0.44	0.3	1.5	75076	63870	11206	82089	68049	14040	-2834	-0.25
Funeral Workers	5.6	7508	3327	0.69	0.31	0.13	0.06	2.11	0.44	0.46	0.94	78246	57127	21119	86274	70136	16137	4981	0.24
"Gallery, Museum and Tour Guides"	3.5	5458	2561	0.68	0.32	0.12	0.03	3.78	0.41	0.31	1.32	70791	65456	5335	82563	58237	24326	-18991	-3.56
Personal Care Consultants	2.2	2562	2550	0.5	0.5	0.1	0.04	2.94	0.51	0.29	1.75	71065	66349	4716	79516	60569	18947	-14231	-3.02
Tourism and Travel Advisers	8.9	2409	6323	0.28	0.72	0.12	0.04	3.36	0.39	0.5	0.79	83151	65060	18091	83336	67950	15386	2705	0.15
Travel Attendants	2.0	9819	4388	0.69	0.31	0.11	0.05	2.03	0.34	0.29	1.17	75764	58347	17417	78439	63978	14461	2956	0.17
Other Personal Service Workers	9.0	2607	4073	0.39	0.61	0.14	0.02	5.74	0.47	0.29	1.6	77853	62565	15288	78690	65763	12926	2362	0.15
Fitness Instructors	4.6	7926	6429	0.55	0.45	0.13	0.07	1.95	0.33	0.33	1	84616	61141	23475	80044	60182	19862	3613	0.15
Outdoor Adventure Guides	0.5	2431	1824	0.57	0.43	0.12	0.02	5.68	0.45	0.42	1.07	83299	65208	18091	83574	66881	16693	1398	0.08
"Sports Coaches, Instructors and Officials"	7.7	5951	2170	0.73	0.27	0.15	0.03	4.7	0.33	0.47	0.7	78135	66452	11683	88991	65222	23770	-12086	-1.03
Sportspersons	0.1	7399	3302	0.69	0.31	0.12	0.03	3.63	0.59	0.47	1.25	73495	61207	12288	89436	62122	27314	-15026	-1.22
Office Managers and Program Administrators	1.8	4707	5040	0.48	0.52	0.11	0.03	3.31	0.39	0.27	1.46	77836	63318	14518	77582	67029	10553	3965	0.27
"Contract, Program and Project Administrators"	3.2	4783	5331	0.47	0.53	0.13	0.04	3.11	0.32	0.42	0.75	76532	61271	15261	76196	67209	8987	6274	0.41
Office Managers	5.2	1309	2369	0.36	0.64	0.14	0.04	3.98	0.53	0.48	1.1	76013	64233	11780	86169	67130	19040	-7260	-0.62
Practice Managers	6.9	4442	2407	0.65	0.35	0.14	0.04	3.4	0.56	0.24	2.36	72169	66372	5797	84700	71082	13618	-7821	-1.35
Personal Assistants	6.2	7468	6352	0.54	0.46	0.14	0.06	2.56	0.58	0.31	1.87	75907	64531	11376	81494	72673	8821	2555	0.22
Secretaries	6.2	2119	2521	0.46	0.54	0.14	0.07	2.12	0.36	0.33	1.09	71002	67408	3594	76836	60783	16053	-12459	-3.47
General Clerical Workers	8.9	10988	2805	0.8	0.2	0.14	0.05	3.17	0.41	0.47	0.86	71162	58716	12446	86494	72586	13908	-1462	-0.12
"Public servant - administrative service officer - levels 3-4, ATO"	4.7	5427	1134	0.83	0.17	0.1	0.02	4.6	0.44	0.36	1.22	82731	58468	24263	86835	69384	17451	6812	0.28
General Clerks	3.0	7533	1860	0.8	0.2	0.15	0.06	2.31	0.59	0.45	1.31	80144	63783	16361	79799	67552	12246	4115	0.25
Keyboard Operators	5.1	6724	4329	0.61	0.39	0.15	0.05	3.06	0.46	0.22	2.07	78888	59958	18929	77165	60729	16436	2493	0.13
Call or Contact Centre Workers	4.3	7350	2291	0.76	0.24	0.14	0.04	3.24	0.47	0.24	2	71021	60704	10317	83233	58296	24938	-14621	-1.42
Inquiry Clerks	3.8	6722	5230	0.56	0.44	0.12	0.06	1.99	0.33	0.37	0.9	77160	68096	9064	75129	71747	3382	5681	0.63
Receptionists	3.7	10265	3452	0.75	0.25	0.13	0.03	3.85	0.39	0.28	1.42	83350	62605	20745	75337	70403	4934	15811	0.76
Accounting Clerks	4.3	5777	2150	0.73	0.27	0.15	0.02	6.67	0.32	0.23	1.39	84632	63314	21317	77856	69124	8732	12585	0.59
Bookkeepers	8.1	1071	2861	0.27	0.73	0.14	0.03	5.05	0.31	0.45	0.7	82343	66130	16213	75519	70377	5142	11072	0.68
Payroll Clerks	6.6	1202	1987	0.38	0.62	0.14	0.07	2.13	0.31	0.21	1.48	73647	57992	15654	80062	67490	12572	3083	0.2
Bank Workers	5.5	6955	2576	0.73	0.27	0.13	0.02	5.34	0.45	0.33	1.38	84052	57374	26678	85692	62261	23432	3246	0.12
Credit and Loans Officers	2.6	6822	6778	0.5	0.5	0.15	0.03	4.67	0.33	0.5	0.66	75264	57095	18169	84580	59719	24862	-6692	-0.37
"Insurance, Money Market and Statistical Clerks"	6.3	5612	3393	0.62	0.38	0.12	0.03	3.75	0.55	0.2	2.75	82906	69588	13318	89322	60644	28679	-15360	-1.15
Clerical and Office Support Workers	0.2	10437	2123	0.83	0.17	0.14	0.07	2.09	0.58	0.46	1.26	80649	68329	12319	84458	69239	15219	-2899	-0.24
Betting Clerks	0.5	5839	2986	0.66	0.34	0.1	0.07	1.52	0.56	0.22	2.59	73510	56477	17033	76474	69689	6785	10248	0.6
Couriers and Postal Deliverers	0.3	5192	3529	0.6	0.4	0.11	0.07	1.69	0.34	0.47	0.72	72837	67217	5620	86292	58374	27918	-22298	-3.97
Filing and Registry Clerks	6.9	3323	5334	0.38	0.62	0.14	0.05	2.76	0.35	0.4	0.89	84316	63719	20597	89722	61635	28087	-7490	-0.36
Mail Sorters	8.3	3066	1052	0.74	0.26	0.15	0.05	3.31	0.35	0.44	0.79	83758	61974	21784	76147	62027	14121	7664	0.35
Survey Interviewers	5.4	2307	4577	0.34	0.66	0.12	0.06	2.05	0.58	0.26	2.23	72547	64036	8511	82900	72426	10475	-1964	-0.23
Switchboard Operators	4.2	8641	5162	0.63	0.37	0.15	0.02	7.04	0.31	0.43	0.72	76757	68497	8260	78107	71884	6224	2036	0.25
Other Clerical and Office Support Workers	8.3	10963	2252	0.83	0.17	0.13	0.06	2.18	0.32	0.38	0.83	82511	56913	25597	79809	67144	12665	12932	0.51
Purchasing and Supply Logistics Clerks	4.8	5894	3737	0.61	0.39	0.12	0.04	2.76	0.39	0.32	1.21	79813	59772	20041	83964	68525	15438	4603	0.23
Transport and Despatch Clerks	5.5	3718	5503	0.4	0.6	0.12	0.05	2.37	0.34	0.37	0.93	78778	65383	13395	88017	66112	21905	-8510	-0.64
Conveyancers and Legal Executives	8.6	2597	1180	0.69	0.31	0.13	0.03	4.15	0.51	0.42	1.24	79215	68685	10530	86007	60176	25831	-15301	-1.45
Court and Legal Clerks	7.7	3527	5487	0.39	0.61	0.15	0.05	3.11	0.32	0.27	1.17	83841	66714	17128	77911	63531	14380	2748	0.16
Debt Collectors	8.7	6319	3993	0.61	0.39	0.14	0.05	2.69	0.5	0.2	2.47	77880	56627	21253	79162	62714	16449	4804	0.23
Human Resource Clerks	4.8	3175	3318	0.49	0.51	0.15	0.03	5.51	0.57	0.33	1.7	74063	69167	4895	84464	68346	16118	-11223	-2.29
Inspectors and Regulatory Officers	3.6	2859	1564	0.65	0.35	0.14	0.07	2.08	0.46	0.44	1.03	79291	68310	10981	89706	70493	19213	-8232	-0.75
"Insurance Investigators, Loss Adjusters and Risk Surveyors"	5.7	3160	2913	0.52	0.48	0.12	0.05	2.26	0.53	0.33	1.61	81956	55474	26481	83100	61793	21308	5174	0.2
Library Assistants	7.7	2207	4672	0.32	0.68	0.15	0.02	6.31	0.39	0.48	0.81	74317	62849	11468	77525	59757	17768	-6300	-0.55
Other Miscellaneous Clerical and Administrative Workers	8.3	6944	5381	0.56	0.44	0.15	0.03	4.98	0.48	0.44	1.1	71655	60733	10921	89511	59051	30460	-19538	-1.79
"Auctioneers, and Stock and Station Agents"	5.0	8791	5008	0.64	0.36	0.13	0.03	4.01	0.47	0.27	1.75	72811	63603	9208	86857	63818	23039	-13831	-1.5
Insurance Agents	5.7	3821	2526	0.6	0.4	0.12	0.02	5.33	0.4	0.23	1.74	70241	65289	4952	78741	60353	18387	-13435	-2.71
Sales Representatives	4.3	5150	1374	0.79	0.21	0.13	0.07	1.86	0.43	0.45	0.94	72843	63817	9026	76079	64622	11457	-2431	-0.27
Real Estate Sales Agents	1.3	3563	5758	0.38	0.62	0.14	0.04	3.91	0.44	0.21	2.14	73676	61853	11823	85381	64796	20586	-8763	-0.74
"Sales assistant - type not specified, ATO RDCC"	2.9	7290	4093	0.64	0.36	0.11	0.06	2.01	0.3	0.32	0.95	76391	62148	14243	83498	60315	23183	-8940	-0.63
Sales Assistants (General)	7.3	6442	2233	0.74	0.26	0.13	0.04	3.42	0.57	0.42	1.34	79344	65330	14014	84081	58106	25975	-11962	-0.85
ICT Sales Assistants	9.5	6445	2070	0.76	0.24	0.15	0.03	5.33	0.44	0.35	1.26	79549	57227	22322	85749	72783	12966	9356	0.42
Motor Vehicle and Vehicle Parts Salespersons	0.8	5448	2790	0.66	0.34	0.14	0.04	3.38	0.37	0.25	1.49	74256	65574	8682	87014	63714	23300	-14617	-1.68
Pharmacy Sales Assistants	10.0	5572	5601	0.5	0.5	0.12	0.05	2.31	0.48	0.38	1.29	78348	65014	13333	89585	61926	27658	-14325	-1.07
Retail Supervisors	9.5	6036	6913	0.47	0.53	0.12	0.05	2.66	0.57	0.44	1.3	71215	58598	12617	78224	67163	11061	1556	0.12
Service Station Attendants	4.8	4261	3775	0.53	0.47	0.14	0.04	4.02	0.57	0.24	2.4	72075	57937	14138	83591	61643	21948	-7811	-0.55
Street Vendors and Related Salespersons	5.0	1728	1373	0.56	0.44	0.13	0.06	2.09	0.48	0.34	1.43	84723	63846	20877	79903	63310	16593	4285	0.21
Other Sales Assistants and Salespersons	4.2	8775	5033	0.64	0.36	0.14	0.05	2.71	0.56	0.5	1.13	70261	62864	7397	75466	62518	12947	-5551	-0.75
Checkout Operators and Office Cashiers	7.8	3582	3739	0.49	0.51	0.14	0.06	2.17	0.37	0.38	0.97	81029	67404	13625	85507	72806	12701	924	0.07
Models and Sales Demonstrators	3.3	3767	6677	0.36	0.64	0.13	0.02	5.64	0.57	0.38	1.51	79613	63728	15885	85395	59779	25616	-9731	-0.61
Retail and Wool Buyers	2.0	10925	2038	0.84	0.16	0.1	0.03	4.02	0.39	0.4	0.97	77631	69737	7894	77524	64431	13093	-5199	-0.66
Telemarketers	0.3	8329	5062	0.62	0.38	0.11	0.05	2.2	0.33	0.45	0.73	72954	62322	10632	87752	68124	19627	-8996	-0.85
Ticket Salespersons	4.0	7937	5086	0.61	0.39	0.11	0.02	4.68	0.55	0.25	2.23	75861	56318	19543	87732	70309	17423	2120	0.11
Visual Merchandisers	9.3	4176	3713	0.53	0.47	0.12	0.03	4.06	0.54	0.27	2.04	70107	57736	12371	75997	59611	16385	-4015	-0.32
Machine and Stationary Plant Operators	6.9	1844	2298	0.45	0.55	0.15	0.02	6.48	0.45	0.5	0.91	72824	65513	7311	85293	64694	20599	-13288	-1.82
"Clay, Concrete, Glass and Stone Processing Machine Operators"	1.1	7138	4502	0.61	0.39	0.14	0.05	2.87	0.32	0.44	0.72	81778	59792	21986	88521	71553	16967	5018	0.23
Industrial Spraypainters	4.9	8324	2246	0.79	0.21	0.14	0.02	5.7	0.31	0.24	1.27	80387	65478	14909	75697	61764	13933	976	0.07
Paper and Wood Processing Machine Operators	5.3	10840	6974	0.61	0.39	0.13	0.03	3.91	0.46	0.27	1.68	75827	66125	9702	87702	69649	18053	-8351	-0.86
Photographic Developers and Printers	9.1	3799	2518	0.6	0.4	0.13	0.03	3.92	0.49	0.26	1.85	74580	69692	4888	78523	66441	12082	-7195	-1.47
Plastics and Rubber Production Machine Operators	4.9	8232	2101	0.8	0.2	0.11	0.05	2.08	0.43	0.24	1.76	79062	55822	23240	89670	63444	26226	-2986	-0.13
Sewing Machinists	9.5	9855	3183	0.76	0.24	0.11	0.06	1.83	0.45	0.4	1.13	81624	60315	21309	85699	60493	25207	-3898	-0.18
Textile and Footwear Production Machine Operators	6.6	7712	5591	0.58	0.42	0.14	0.03	4.66	0.3	0.26	1.17	83451	65679	17771	86158	69821	16337	1434	0.08
Other Machine Operators	6.6	9225	6183	0.6	0.4	0.1	0.03	3.67	0.38	0.32	1.2	80124	63719	16405	81421	67278	14142	2263	0.14
"Crane, Hoist and Lift Operators"	4.3	5676	4260	0.57	0.43	0.12	0.03	3.96	0.59	0.46	1.3	76538	59424	17114	76908	58195	18713	-1600	-0.09
"Drillers, Miners and Shot Firers"	7.0	7429	3227	0.7	0.3	0.11	0.05	2.5	0.41	0.29	1.41	82195	56356	25840	83656	69918	13738	12101	0.47
Engineering Production Systems Workers	4.2	9470	2338	0.8	0.2	0.14	0.03	5.71	0.38	0.29	1.32	80795	64218	16577	88101	64539	23562	-6985	-0.42
Other Stationary Plant Operators	7.8	6022	5901	0.51	0.49	0.11	0.03	3.41	0.55	0.24	2.26	80111	56676	23435	78753	60323	18430	5005	0.21
Mobile Plant Operators	0.4	7350	1416	0.84	0.16	0.13	0.02	5.59	0.5	0.35	1.41	72648	68013	4635	89194	64981	24213	-19578	-4.22
"Agricultural, Forestry and Horticultural Plant Operators"	6.1	8380	3762	0.69	0.31	0.11	0.02	4.59	0.56	0.36	1.56	76927	68238	8689	77029	69863	7165	1524	0.18
Earthmoving Plant Operators	5.7	8312	1285	0.87	0.13	0.12	0.04	3.23	0.54	0.37	1.45	77377	58761	18617	87914	60948	26966	-8350	-0.45
Forklift Drivers	6.0	3586	4832	0.43	0.57	0.13	0.04	3.28	0.42	0.28	1.53	77538	61534	16005	86441	65562	20879	-4874	-0.3
Other Mobile Plant Operators	2.2	5639	4472	0.56	0.44	0.13	0.07	1.92	0.39	0.2	1.94	74484	67768	6715	89542	59434	30108	-23392	-3.48
Road and Rail Drivers	2.5	9819	3934	0.71	0.29	0.15	0.05	3.2	0.32	0.31	1.06	70704	66221	4482	84027	64976	19051	-14569	-3.25
Automobile Drivers	6.7	3380	1219	0.73	0.27	0.14	0.05	2.71	0.44	0.48	0.91	84494	58606	25888	86737	64593	22144	3744	0.14
Bus and Coach Drivers	0.0	4283	4579	0.48	0.52	0.11	0.06	1.86	0.37	0.33	1.11	82168	55146	27022	83910	62869	21041	5981	0.22
Train and Tram Drivers	2.3	10542	4287	0.71	0.29	0.11	0.02	4.55	0.39	0.25	1.57	73662	63801	9860	76116	62704	13412	-3552	-0.36
